,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,Unnamed: 25,trc
2422,3,9,7,64,1,3,1923,1394,"[1918,1390,1929,1399]",124.7,276.42,,,,,0.0521687,53.9081,1249,0.120967,979.433,82,781.251,1.32268,6,8,,1
2439,3,9,2,46,2,1,1825,80,"[1821,75,1831,84]",-535.45,793.57,,,,,0.0562512040069,25.3913043478,519,0.0984126984127,426.0,69,359.198786039,1.25666155313,2,1,,1
2443,3,9,2,60,2,2,1017,1238,"[1011,1232,1022,1247]",-655.11,622.26,,,,,0.0613885,67.3267,1275,0.106576,1029.41,112,845.174,1.29764,6,4,,1
2446,3,9,3,53,2,1,1782,128,"[1778,124,1786,134]",-541.98,786.37,,,,,0.0576761,24.4239,493,0.10533,399.042,58,365.274,1.15931,1,2,,1
2450,3,9,3,53,2,5,1337,1487,"[1333,1483,1341,1493]",-607.73,585.46,,,,,0.155301,164.344,1481,0.247218,893.885,70,477.207,2.21755,8,12,,1
2453,3,9,3,61,2,1,1414,1591,"[1410,1587,1418,1595]",-596.35,570.23,,,,,0.234246192893,234.394920635,1548,0.33780420354,766.24,63,385.574387744,2.59517995085,5,8,,1
2457,3,9,4,61,2,1,1414,1587,"[1411,1584,1418,1594]",-596.29,570.5,,,,,0.261855624348,318.918918919,1877,0.352305475504,899.0,74,465.407681105,2.61688615888,4,7,,1
2458,3,9,4,64,2,1,1431,1584,"[1428,1581,1436,1589]",-593.72,571.06,,,,,0.23873378905,234.288401254,1518,0.340343554343,747.090909091,58,383.951574392,2.55599762001,3,5,,1
2461,3,9,5,53,2,2,1337,1486,"[1332,1481,1342,1493]",-607.75,585.6,,,,,0.19172,248.221,1809,0.267036,1046.48,105,655.71,1.97451,5,3,,1
2463,3,9,5,61,2,1,1415,1587,"[1410,1583,1419,1593]",-596.28,570.65,,,,,0.238305916368,313.952253458,1936,0.317239120026,1003.48148148,83,554.602098467,2.37545753718,4,9,,1
