,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,Unnamed: 25,trc
975,4,6,5,43,1,1,419,97,"[416,92,424,103]",-420.44,-177.77,,,,,0.0513532873848,22.4788135593,510,0.102404755471,415.25,59,347.578028747,1.25936847947,1,9,,1
995,4,6,6,51,1,1,1736,1370,"[1731,1366,1741,1378]",-225.84,-366.09,,,,,0.0725838,65.84,1040,0.105648,841.25,100,683.292,1.32753,3,5,,1
997,4,6,6,52,1,1,1743,1364,"[1737,1359,1747,1373]",-224.86,-365.23,,,,,0.0851800044173,82.419859687,1133,0.122795767874,885.176470588,109,668.731023459,1.44691407507,6,8,,1
1014,4,6,7,51,1,1,1736,1372,"[1731,1366,1741,1378]",-225.85,-366.12,,,,,0.0837969134572,78.991005291,1142,0.138778882589,863.657142857,108,655.550866183,1.43794813915,2,3,,1
1017,4,6,7,52,1,3,1745,1363,"[1740,1359,1748,1370]",-224.55,-364.89,,,,,0.0339106,33.7131,1181,0.102984,960.464,62,646.755,1.53718,11,14,,1
1018,4,6,7,52,1,4,1741,1368,"[1738,1362,1746,1373]",-225.07,-365.58,,,,,0.0349904,34.2286,1208,0.122677,944.0,70,646.755,1.51252,11,15,,1
1022,4,6,8,32,1,1,467,65,"[462,61,472,72]",-413.45,-173.09,,,,,0.0561434,23.4307,480,0.098516,393.906,92,300.386,1.38934,2,1,,1
1030,4,6,8,51,1,1,1736,1368,"[1731,1365,1742,1372]",-225.78,-365.65,,,,,0.0320311,28.9277,1025,0.0794103,874.185,62,615.292,1.46778,14,15,,1
1031,4,6,8,51,1,2,1735,1374,"[1732,1372,1741,1377]",-225.77,-366.47,,,,,0.0284469,25.9299,1016,0.0685789,885.591,48,615.292,1.48144,14,16,,1
1043,4,6,1,54,2,1,194,21,"[190,17,198,25]",-1422.46,-166.41,,,,,0.0455933051601,40.193627451,1020,0.0959640051038,841.375,51,741.347728547,1.18914322322,1,4,,1
1088,4,6,3,36,2,2,1649,13,"[1644,10,1655,18]",-1207.36,-165.35,,,,,0.0468562,27.4352,666,0.0881612,558.083,54,600.117,0.975674,1,3,,1
1186,4,6,8,35,2,2,550,224,"[544,217,554,229]",-1370.0,-196.31,,,,,0.0432734,18.6875,496,0.0911155,413.161,86,386.615,1.117,2,3,,1
1192,4,6,8,62,2,1,1281,1358,"[1280,1357,1283,1360]",-1261.75,-364.17,,,,,0.117518819633,83.3931623932,1547,0.423692417813,626.222222222,13,491.585632184,1.44352344364,8,10,,1
1228,4,6,3,57,3,1,640,1646,"[636,1642,647,1651]",581.0,-406.7,,,,,0.0763231428149,51.8859437751,800,0.120500490219,627.933333333,83,545.245584788,1.24681298863,13,19,,1
1229,4,6,3,58,3,1,639,1635,"[634,1632,646,1643]",580.93,-405.29,,,,,0.0491829297652,41.1245941558,989,0.108724973287,795.03125,77,606.529261306,1.37859110434,14,28,,1
1235,4,6,4,57,3,1,640,1646,"[637,1641,646,1651]",580.94,-406.75,,,,,0.0648165701246,50.4453551913,905,0.108502602838,727.833333333,61,605.597481343,1.28514188467,12,14,,1
1247,4,6,5,57,3,2,644,1646,"[638,1642,647,1651]",581.35,-406.77,,,,,0.0490714,38.7544,909,0.0951807,751.0,57,623.632,1.26638,11,19,,1
1249,4,6,5,58,3,2,635,1636,"[630,1630,641,1643]",580.13,-405.23,,,,,0.0517651,41.4428,954,0.113737,759.152,106,622.545,1.286,10,14,,1
1304,4,6,3,57,4,1,1205,1801,"[1201,1797,1211,1806]",664.43,-1075.42,,,,,0.0565570417638,26.8606119475,561,0.11191607149,448.068965517,71,404.939000254,1.17284227295,7,18,,1
1342,4,6,5,57,4,1,1206,1801,"[1201,1797,1210,1808]",664.48,-1075.59,,,,,0.0846154720886,56.3712121212,789,0.128082926248,609.833333333,88,554.176029404,1.20215330528,9,18,,1
1384,4,6,7,58,4,2,1231,1922,"[1226,1916,1235,1929]",668.06,-1093.35,,,,,0.0412516,28.2841,800,0.0978729,657.364,88,609.446,1.12503,9,8,,1
1414,4,6,1,50,5,1,558,43,"[554,39,562,50]",-400.01,-815.73,,,,,0.125093,83.2874,854,0.188987,582.517,87,484.857,1.3732,6,4,,1
1419,4,6,1,52,5,4,568,55,"[564,51,573,62]",-398.5,-817.46,,,,,0.0957476,64.8287,818,0.143856,612.25,89,496.938,1.3625,11,21,,1
1423,4,6,1,54,5,1,88,32,"[84,27,95,39]",-469.33,-814.1,,,,,0.069806,32.1544,571,0.142605,428.471,96,318.686,1.44539,2,1,,1
1424,4,6,1,54,5,2,569,64,"[565,61,573,72]",-398.42,-818.98,,,,,0.074872,48.0357,772,0.130692,593.536,70,525.658,1.22051,12,17,,1
1435,4,6,2,46,5,1,2139,1105,"[2134,1100,2144,1112]",-166.35,-972.6,,,,,0.179569437328,73.2757575758,563,0.254193809701,334.787878788,110,270.654524089,1.50769190996,1,1,,1
1445,4,6,2,58,5,1,556,126,"[549,118,562,132]",-400.31,-827.64,,,,,0.117450039873,76.4945736434,858,0.197654941374,574.8,129,437.052330903,1.49019814698,10,18,,1
1467,4,6,3,58,5,1,556,122,"[549,117,561,134]",-400.43,-827.69,,,,,0.104088,66.4527,809,0.171635,571.977,163,450.483,1.41721,9,9,,1
1489,4,6,4,58,5,3,489,69,"[485,64,494,75]",-410.09,-819.5,,,,,0.0488194,23.2293,552,0.098953,452.593,73,451.498,1.05387,14,11,,1
1509,4,6,6,59,5,1,567,100,"[563,96,572,108]",-398.57,-824.17,,,,,0.0823163162352,52.8834841629,807,0.155697828697,589.558823529,104,444.845252706,1.4441927924,10,10,,1
1540,4,6,1,53,6,1,28,860,"[24,855,32,866]",-1447.06,-936.39,,,,,0.0522270288803,38.0827205882,838,0.0960740634771,691.09375,85,534.830973047,1.36337741704,3,2,,1
1555,4,6,2,52,6,1,22,894,"[17,889,28,897]",-1447.83,-941.17,,,,,0.0397945728817,28.5219170076,802,0.0763606071825,688.206896552,59,544.60880829,1.31604337398,6,15,,1
