,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc
3962,4,7,4,4,7,1,165,790,"[160,786,170,796]",-1426.78,-1571.88,0.0333362,25.1291,837,0.069185,728.679,78,765.334,0.984939,1,1,1
3966,4,7,4,53,6,1,798,693,"[795,689,802,696]",-1333.22,-911.54,0.0253359776223,34.6755260244,1470,0.0485199463343,1333.95238095,43,1075.38974413,1.27268082521,3,9,1
3967,4,7,8,60,6,1,751,715,"[747,712,754,719]",-1340.22,-914.93,0.0263575391541,29.0602006689,1179,0.0468469511842,1073.47826087,52,668.671461486,1.64884928555,1,6,1
3968,4,7,6,56,4,1,1363,1293,"[1357,1288,1367,1297]",687.61,-1000.19,0.0580250931637,37.2591431557,726,0.0910221531286,604.862068966,66,552.570962651,1.1620610845,9,39,1
3976,4,7,2,38,8,2,251,1540,"[250,1538,252,1542]",-445.35,-1682.65,0.061783,25.404,856,0.378669,385.778,11,261.577,1.57193,4,11,1
3986,4,7,8,7,7,1,846,969,"[840,962,852,978]",-1326.08,-1598.36,0.0268365,63.6474,2703,0.0788212,2308.03,116,2000.03,1.18582,2,4,1
3991,4,7,8,56,8,1,1196,1904,"[1190,1900,1201,1912]",-305.79,-1736.64,0.092408440456,61.4516129032,794,0.136275505493,603.548387097,94,548.859885356,1.21160248315,7,6,1
4001,4,7,5,56,6,2,770,697,"[763,692,773,702]",-1337.5,-912.36,0.0497553,77.286,1738,0.0815059,1476.04,65,1049.83,1.47959,2,12,1
4003,4,7,7,34,3,1,1948,1030,"[1941,1024,1957,1037]",774.46,-315.76,0.126547039604,72.6091391269,725,0.182550972025,501.162790698,171,420.862604378,1.36332362119,3,5,1
4012,4,7,2,48,5,1,588,1540,"[585,1536,592,1548]",-395.54,-1037.03,0.0458272101477,19.237012987,485,0.0953821334947,400.535714286,66,301.366452037,1.39289799656,6,11,1
4013,4,7,5,64,8,1,1219,1981,"[1217,1979,1221,1983]",-302.22,-1747.84,0.15208373221,99.2916666667,1577,0.480345758204,553.583333333,16,532.428460342,1.22622107688,11,24,1
4014,4,7,4,47,1,1,376,1884,"[370,1879,381,1893]",-426.92,-442.15,0.114033603515,167.163385827,1789,0.158772569023,1298.75,127,1060.06272071,1.38285533222,4,5,1
4019,4,7,7,36,3,1,1928,1063,"[1921,1057,1938,1069]",771.45,-320.47,0.121013,70.38,706,0.160031,511.209,168,426.073,1.365,2,4,1
4020,4,7,7,36,3,2,1952,1887,"[1948,1883,1956,1892]",774.82,-442.35,0.0552641,39.2154,834,0.108759,670.385,70,561.401,1.26398,3,6,1
4026,4,7,3,62,9,3,113,734,"[111,733,114,736]",502.91,-1563.49,0.0363266,41.3194,2182,0.331249,1096.13,9,541.176,2.1018,11,31,1
4029,4,7,6,57,9,3,508,482,"[504,479,511,487]",561.32,-1526.36,0.101722,102.812,1227,0.149468,907.9,52,765.468,1.32038,7,41,1
4030,4,7,6,57,9,4,549,528,"[545,524,553,532]",567.38,-1533.09,0.064233,62.5579,1148,0.114908,911.364,51,765.468,1.27232,7,51,1
4035,4,7,8,49,8,1,2013,1056,"[2009,1053,2019,1061]",-184.77,-1611.23,0.0575205,39.5035,780,0.0929963,647.269,66,512.479,1.3401,4,7,1
4039,4,7,6,42,4,1,1030,315,"[1026,311,1033,320]",638.45,-855.78,0.0506062,41.0875,931,0.0941239,770.818,53,603.458,1.34542,1,1,1
4040,4,7,6,42,4,2,375,1895,"[369,1892,380,1900]",541.72,-1089.36,0.0439442,23.2967,629,0.107544,506.846,56,334.31,1.58578,9,15,1
4046,4,7,2,23,8,1,1408,1630,"[1401,1626,1414,1638]",-274.47,-1696.22,0.140451,196.63,1964,0.240149,1203.36,113,1078.8,1.29773,3,12,1
4047,4,7,2,23,8,2,1443,1637,"[1440,1634,1447,1643]",-269.06,-1697.17,0.232833,582.893,3668,0.312674,1920.59,62,1078.8,2.32062,3,15,1
4050,4,7,5,20,9,1,1495,548,"[1491,545,1500,553]",707.32,-1536.03,0.0477504941208,22.6253968254,536,0.0858995137763,451.2,63,369.168044261,1.28349515672,3,8,1
4054,4,7,6,57,10,1,645,1173,"[641,1170,649,1179]",-387.18,-2274.44,0.055551741062,37.9253472222,776,0.0923594275436,644.777777778,64,462.664766622,1.47558918304,5,3,1
4070,4,7,7,23,1,1,1281,1360,"[1280,1359,1282,1361]",-293.14,-364.35,0.0832271853883,68.8392857143,1523,0.335211973198,758.285714286,8,361.980198771,2.28500067907,2,4,1
4073,4,7,8,37,4,1,818,1167,"[814,1163,823,1173]",607.26,-981.72,0.056321528341,46.6367102397,956,0.100490300576,781.407407407,68,610.720565942,1.35584777036,2,4,1
4080,4,7,8,57,9,3,104,669,"[94,660,113,679]",501.49,-1553.98,0.154768,97.9281,834,0.218576,534.811,284,390.601,1.61991,12,54,1
4081,4,7,8,57,9,4,126,679,"[120,675,130,682]",504.73,-1555.22,0.0355352,21.3418,669,0.0719092,579.24,55,390.601,1.53758,12,55,1
4083,4,7,8,61,9,2,1910,221,"[1907,219,1912,229]",768.54,-1487.98,0.0600972,25.48,542,0.152578,398.5,50,280.539,1.51131,3,12,1
4085,4,7,8,61,9,4,510,545,"[505,535,515,551]",561.56,-1535.31,0.0992011,105.527,1315,0.156941,958.237,131,745.929,1.42609,8,59,1
4103,4,7,2,42,9,1,1309,1664,"[1305,1660,1314,1671]",679.81,-1701.21,0.106348150215,53.8572463768,613,0.150561516564,452.566666667,92,367.518957215,1.37795317249,12,22,1
4118,4,7,7,37,4,1,819,1167,"[815,1163,822,1172]",607.19,-981.72,0.0596656,46.5273,926,0.116152,733.273,50,616.463,1.26496,2,7,1
4124,4,7,7,62,1,1,510,1783,"[505,1779,514,1791]",-407.11,-427.12,0.0472075753475,50.3485824742,1219,0.0907362357744,1016.1875,97,942.265585833,1.13188478759,3,3,1
4130,4,7,2,45,1,3,382,1886,"[379,1882,385,1892]",-426.01,-442.29,0.0306236,32.3162,1246,0.0983022,1022.96,55,777.956,1.35647,5,9,1
4131,4,7,1,45,2,1,1282,965,"[1278,961,1287,972]",-1261.65,-306.19,0.197867350041,140.169230769,994,0.272539268305,568.230769231,80,398.320455608,1.77846753795,2,7,1
4135,4,7,8,3,8,1,1409,485,"[1399,471,1415,491]",-274.25,-1526.44,0.133013679704,123.295272175,1350,0.253690546069,803.641509434,174,326.717833876,2.83711718645,3,3,1
4136,4,7,2,4,9,1,1606,926,"[1602,920,1610,934]",723.61,-1591.96,0.0306514508545,22.2708333333,803,0.0654724882863,704.3125,72,511.166299559,1.42142260544,8,14,1
4144,4,7,6,63,9,3,117,652,"[113,647,122,657]",503.55,-1551.36,0.0519828,36.3215,811,0.100855,662.4,79,489.521,1.42736,11,60,1
4147,4,7,7,33,9,1,991,726,"[989,719,997,738]",632.92,-1562.81,0.0370079937353,37.6878596876,1257,0.123483568587,980.682926829,89,607.855383599,1.67535044353,5,13,1
4149,4,7,8,29,3,2,1784,1896,"[1780,1893,1790,1902]",750.09,-443.81,0.0515495,32.1468,725,0.101435,591.464,72,560.274,1.11305,3,10,1
